statement,status
My heart races whenever I think about the future.,Anxiety
I often feel hopeless and tired without any reason.,Depression
I can't relax because I keep thinking about unfinished tasks.,Stress
"Life feels unbearable, and I don't know how to cope.",Suicidal
I can't relax because I keep thinking about unfinished tasks.,Stress
I find no joy in the activities I used to love.,Depression
"One moment I'm motivated, the next I can't focus at all.",Bipolar
I feel ecstatic one day and completely hopeless the next.,Bipolar
"Life feels unbearable, and I don't know how to cope.",Suicidal
I feel happy and productive today.,Normal
Deadlines have been making me feel restless and anxious.,Stress
I think about ways to hurt myself more often than not.,Suicidal
"Life feels unbearable, and I don't know how to cope.",Suicidal
Getting out of bed feels like a huge task lately.,Depression
I have thoughts about ending everything and giving up.,Suicidal
I am focused on my goals and optimistic about the future.,Normal
"My sleep routine has been great, and I feel energetic.",Normal
"Life feels unbearable, and I don't know how to cope.",Suicidal
I act differently in different situations and feel confused.,Personality disorder
I often feel disconnected and misunderstood by others.,Personality disorder
I can't relax because I keep thinking about unfinished tasks.,Stress
I often feel hopeless and tired without any reason.,Depression
I often feel hopeless and tired without any reason.,Depression
"Work pressure is overwhelming, and I can't catch a break.",Stress
I have severe mood swings that affect my daily life.,Bipolar
I have constant fear that something bad will happen.,Anxiety
I feel happy and productive today.,Normal
I often feel disconnected and misunderstood by others.,Personality disorder
I am focused on my goals and optimistic about the future.,Normal
I act differently in different situations and feel confused.,Personality disorder
I have been maintaining a balanced diet and feel good.,Normal
I often feel disconnected and misunderstood by others.,Personality disorder
I have constant fear that something bad will happen.,Anxiety
I can't relax because I keep thinking about unfinished tasks.,Stress
I struggle to maintain relationships and trust people.,Personality disorder
"Life feels unbearable, and I don't know how to cope.",Suicidal
"One moment I'm motivated, the next I can't focus at all.",Bipolar
The constant workload is draining my energy completely.,Stress
I often feel hopeless and tired without any reason.,Depression
I am focused on my goals and optimistic about the future.,Normal
I feel ecstatic one day and completely hopeless the next.,Bipolar
Social situations make me extremely nervous and panicky.,Anxiety
I often feel hopeless and tired without any reason.,Depression
"Lately, I have been feeling sad and lonely.",Depression
"Work pressure is overwhelming, and I can't catch a break.",Stress
"Life feels unbearable, and I don't know how to cope.",Suicidal
"Work pressure is overwhelming, and I can't catch a break.",Stress
I feel restless and can't seem to calm my thoughts.,Anxiety
Social situations make me extremely nervous and panicky.,Anxiety
I often experience extreme emotional reactions I can't control.,Personality disorder
"My sleep routine has been great, and I feel energetic.",Normal
I have been maintaining a balanced diet and feel good.,Normal
"Some days I am full of energy; other days, I can't move.",Bipolar
"Life feels unbearable, and I don't know how to cope.",Suicidal
"One moment I'm motivated, the next I can't focus at all.",Bipolar
It feels like no one would care if I was gone.,Suicidal
I have thoughts about ending everything and giving up.,Suicidal
I find no joy in the activities I used to love.,Depression
Deadlines have been making me feel restless and anxious.,Stress
Social situations make me extremely nervous and panicky.,Anxiety
I struggle to maintain relationships and trust people.,Personality disorder
I often feel disconnected and misunderstood by others.,Personality disorder
I can't relax because I keep thinking about unfinished tasks.,Stress
I enjoy spending time with my friends and family.,Normal
I have severe mood swings that affect my daily life.,Bipolar
I can't relax because I keep thinking about unfinished tasks.,Stress
I often feel hopeless and tired without any reason.,Depression
I have severe mood swings that affect my daily life.,Bipolar
I have been maintaining a balanced diet and feel good.,Normal
I feel restless and can't seem to calm my thoughts.,Anxiety
"My sleep routine has been great, and I feel energetic.",Normal
I have been maintaining a balanced diet and feel good.,Normal
I feel happy and productive today.,Normal
I often experience extreme emotional reactions I can't control.,Personality disorder
It feels like no one would care if I was gone.,Suicidal
My heart races whenever I think about the future.,Anxiety
I often feel disconnected and misunderstood by others.,Personality disorder
I have constant fear that something bad will happen.,Anxiety
"One moment I'm motivated, the next I can't focus at all.",Bipolar
I think about ways to hurt myself more often than not.,Suicidal
"Some days I am full of energy; other days, I can't move.",Bipolar
"Work pressure is overwhelming, and I can't catch a break.",Stress
I often feel hopeless and tired without any reason.,Depression
I think about ways to hurt myself more often than not.,Suicidal
Small decisions give me overwhelming stress.,Anxiety
I feel restless and can't seem to calm my thoughts.,Anxiety
I have been maintaining a balanced diet and feel good.,Normal
I struggle to maintain relationships and trust people.,Personality disorder
I feel ecstatic one day and completely hopeless the next.,Bipolar
I have been maintaining a balanced diet and feel good.,Normal
I feel disconnected from everything and everyone.,Depression
"Work pressure is overwhelming, and I can't catch a break.",Stress
I act differently in different situations and feel confused.,Personality disorder
I find no joy in the activities I used to love.,Depression
I feel happy and productive today.,Normal
"My sleep routine has been great, and I feel energetic.",Normal
I think about ways to hurt myself more often than not.,Suicidal
Small decisions give me overwhelming stress.,Anxiety
I often feel disconnected and misunderstood by others.,Personality disorder
The constant workload is draining my energy completely.,Stress
I often feel disconnected and misunderstood by others.,Personality disorder
I act differently in different situations and feel confused.,Personality disorder
Sometimes I think life is not worth living anymore.,Suicidal
I think about ways to hurt myself more often than not.,Suicidal
I have constant fear that something bad will happen.,Anxiety
I often feel hopeless and tired without any reason.,Depression
I feel disconnected from everything and everyone.,Depression
